Year,No_Smoothing,Lowess(5)
1970,0.02,-0.01
1971,-0.08,0.00
1972,0.01,0.00
1973,0.16,-0.00
1974,-0.07,0.01
1975,-0.01,0.02
1976,-0.10,0.04
1977,0.18,0.07
1978,0.07,0.12
1979,0.16,0.16
1980,0.26,0.20
1981,0.32,0.21
1982,0.14,0.22
1983,0.31,0.21
1984,0.16,0.21
1985,0.12,0.22
1986,0.18,0.24
1987,0.32,0.27
1988,0.39,0.31
1989,0.27,0.33
1990,0.45,0.33
1991,0.40,0.33
1992,0.22,0.33
1993,0.23,0.33
1994,0.32,0.34
1995,0.45,0.37
1996,0.33,0.40
1997,0.46,0.42
1998,0.61,0.44
1999,0.38,0.47
2000,0.39,0.50
2001,0.53,0.52
2002,0.63,0.55
2003,0.62,0.58
2004,0.53,0.61
2005,0.67,0.62
2006,0.63,0.62
2007,0.66,0.63
2008,0.54,0.64
2009,0.65,0.64
2010,0.72,0.64
2011,0.61,0.66
2012,0.65,0.69
2013,0.67,0.74
2014,0.74,0.78
2015,0.89,0.83
2016,1.01,0.87
2017,0.92,0.91
2018,0.85,0.92
2019,0.98,0.93
2020,1.02,0.93
2021,0.84,0.94
2022,0.89,0.90
