Rank,Country/Territory,Continent,Area (km²),Density (per km²),Growth Rate,Year,Population
36.0,Afghanistan,Asia,652230,63.0587,1.0257,2022,41128771
138.0,Albania,Europe,28748,98.8702,0.9957,2022,2842321
34.0,Algeria,Africa,2381741,18.8531,1.0164,2022,44903225
213.0,American Samoa,Oceania,199,222.4774,0.9831,2022,44273
203.0,Andorra,Europe,468,170.5641,1.01,2022,79824
42.0,Angola,Africa,1246700,28.5466,1.0315,2022,35588987
224.0,Anguilla,North America,91,174.2527,1.0066,2022,15857
201.0,Antigua and Barbuda,North America,442,212.1335,1.0058,2022,93763
33.0,Argentina,South America,2780400,16.3683,1.0052,2022,45510318
140.0,Armenia,Asia,29743,93.4831,0.9962,2022,2780469
198.0,Aruba,North America,180,591.3611,0.9991,2022,106445
55.0,Australia,Oceania,7692024,3.4032,1.0099,2022,26177413
99.0,Austria,Europe,83871,106.5877,1.002,2022,8939617
91.0,Azerbaijan,Asia,86600,119.6082,1.0044,2022,10358074
176.0,Bahamas,North America,13943,29.4043,1.0051,2022,409984
154.0,Bahrain,Asia,765,1924.4876,1.0061,2022,1472233
8.0,Bangladesh,Asia,147570,1160.035,1.0108,2022,171186372
186.0,Barbados,North America,430,654.9651,1.0015,2022,281635
96.0,Belarus,Europe,207600,45.9295,0.9955,2022,9534954
81.0,Belgium,Europe,30528,381.8111,1.0038,2022,11655930
177.0,Belize,North America,22966,17.6466,1.0131,2022,405272
77.0,Benin,Africa,112622,118.5635,1.0274,2022,13352864
206.0,Bermuda,North America,54,1188.5926,1.0,2022,64184
165.0,Bhutan,Asia,38394,20.3796,1.0064,2022,782455
80.0,Bolivia,South America,1098581,11.1272,1.012,2022,12224110
137.0,Bosnia and Herz.,Europe,51209,63.1437,0.9886,2022,3233526
144.0,Botswana,Africa,582000,4.5194,1.0162,2022,2630296
7.0,Brazil,South America,8515767,25.2841,1.0046,2022,215313498
221.0,British Virgin Islands,North America,151,207.3179,1.0059,2022,31305
175.0,Brunei,Asia,5765,77.8841,1.0081,2022,449002
108.0,Bulgaria,Europe,110879,61.1654,0.9849,2022,6781953
58.0,Burkina Faso,Africa,272967,83.0641,1.0259,2022,22673762
78.0,Burundi,Africa,27834,463.0874,1.027,2022,12889576
73.0,Cambodia,Asia,181035,92.6221,1.0108,2022,16767842
53.0,Cameroon,Africa,475442,58.7128,1.0263,2022,27914536
39.0,Canada,North America,9984670,3.8513,1.0078,2022,38454327
171.0,Cape Verde,Africa,4033,147.0739,1.0089,2022,593149
205.0,Cayman Islands,North America,264,260.25,1.0084,2022,68706
117.0,Central African Rep.,Africa,622984,8.9555,1.0224,2022,5579144
69.0,Chad,Africa,1284000,13.8032,1.0316,2022,17723315
65.0,Chile,South America,756102,25.9274,1.0057,2022,19603733
1.0,China,Asia,9706961,146.8933,1.0,2022,1425887337
28.0,Colombia,South America,1141748,45.4339,1.0069,2022,51874024
163.0,Comoros,Africa,1862,449.3953,1.0184,2022,836774
223.0,Cook Islands,Oceania,236,72.0805,1.0005,2022,17011
124.0,Costa Rica,North America,51100,101.3861,1.0052,2022,5180829
130.0,Croatia,Europe,56594,71.2153,0.9927,2022,4030358
85.0,Cuba,North America,109884,102.0366,0.9961,2022,11212191
189.0,Curacao,North America,444,430.5473,1.0043,2022,191163
158.0,N. Cyprus,Europe,9251,135.2814,1.0059,2022,1251488
,Cyprus,Europe,9251,135.2814,1.0059,2022,1251488
88.0,Czech Rep.,Europe,78865,133.0627,0.9984,2022,10493986
115.0,Denmark,Europe,43094,136.4984,1.0048,2022,5882261
160.0,Djibouti,Africa,23200,48.3125,1.0138,2022,1120849
204.0,Dominica,North America,751,96.8535,1.0045,2022,72737
84.0,Dominican Rep.,North America,48671,230.7087,1.01,2022,11228821
15.0,Dem. Rep. Congo,Africa,2344858,42.2244,1.0325,2022,99010212
67.0,Ecuador,South America,276841,65.0229,1.0114,2022,18001000
14.0,Egypt,Africa,1002450,110.7188,1.0158,2022,110990103
112.0,El Salvador,North America,21041,301.145,1.0035,2022,6336392
152.0,Eq. Guinea,Africa,28051,59.7094,1.0247,2022,1674908
132.0,Eritrea,Africa,117600,31.3268,1.0176,2022,3684032
156.0,Estonia,Europe,45227,29.3201,0.998,2022,1326062
159.0,Swaziland,Africa,17364,69.2047,1.0079,2022,1201670
12.0,Ethiopia,Africa,1104300,111.7268,1.0257,2022,123379924
231.0,Falkland Is.,South America,12173,0.3105,1.0043,2022,3780
209.0,Faroe Islands,Europe,1393,38.112,1.0038,2022,53090
162.0,Fiji,Oceania,18272,50.8847,1.0056,2022,929766
118.0,Finland,Europe,338424,16.3722,1.0009,2022,5540745
23.0,France,Europe,551695,117.1419,1.0015,2022,64626628
184.0,French Guiana,South America,83534,3.6459,1.0239,2022,304557
183.0,French Polynesia,Oceania,4167,73.5011,1.0074,2022,306279
146.0,Gabon,Africa,267668,8.9252,1.0204,2022,2388992
142.0,Gambia,Africa,10689,253.1567,1.025,2022,2705992
131.0,Georgia,Asia,69700,53.7214,0.9964,2022,3744385
19.0,Germany,Europe,357114,233.4544,0.9995,2022,83369843
47.0,Ghana,Africa,238533,140.3406,1.0196,2022,33475870
219.0,Gibraltar,Europe,6,5441.5,0.9994,2022,32649
90.0,Greece,Europe,131990,78.68,0.9942,2022,10384971
208.0,Greenland,North America,2166086,0.0261,1.004,2022,56466
193.0,Grenada,North America,344,364.6453,1.0066,2022,125438
178.0,Guadeloupe,North America,1628,243.0909,0.9992,2022,395752
191.0,Guam,Oceania,549,312.8852,1.0073,2022,171774
68.0,Guatemala,North America,108889,163.8725,1.0134,2022,17843908
207.0,Guernsey,Europe,78,811.5513,1.0037,2022,63301
75.0,Guinea,Africa,245857,56.3716,1.0242,2022,13859341
149.0,Guinea-Bissau,Africa,36125,58.2856,1.0218,2022,2105566
164.0,Guyana,South America,214969,3.7621,1.0052,2022,808726
82.0,Haiti,North America,27750,417.4773,1.012,2022,11584996
89.0,Honduras,North America,112492,92.7431,1.015,2022,10432860
104.0,Hong Kong,Asia,1104,6783.3922,0.9992,2022,7488865
94.0,Hungary,Europe,93028,107.1431,1.0265,2022,9967308
179.0,Iceland,Europe,103000,3.6204,1.0069,2022,372899
2.0,India,Asia,3287590,431.0675,1.0068,2022,1417173173
4.0,Indonesia,Asia,1904569,144.6529,1.0064,2022,275501339
17.0,Iran,Asia,1648195,53.7258,1.0071,2022,88550570
35.0,Iraq,Asia,438317,101.5158,1.0221,2022,44496122
125.0,Ireland,Europe,70273,71.4799,1.0073,2022,5023109
202.0,Isle of Man,Europe,572,147.7605,1.003,2022,84519
98.0,Israel,Asia,20770,435.1617,1.0155,2022,9038309
25.0,Italy,Europe,301336,195.9191,0.9966,2022,59037474
52.0,Côte d'Ivoire,Africa,322463,87.3295,1.0248,2022,28160542
139.0,Jamaica,North America,10991,257.2447,0.9999,2022,2827377
11.0,Japan,Asia,377930,327.9753,0.9947,2022,123951692
195.0,Jersey,Europe,116,954.9828,1.0106,2022,110778
83.0,Jordan,Asia,89342,126.3221,1.0123,2022,11285869
66.0,Kazakhstan,Asia,2724900,7.1188,1.0105,2022,19397998
27.0,Kenya,Africa,580367,93.0919,1.0193,2022,54027487
192.0,Kiribati,Oceania,811,161.815,1.0183,2022,131232
129.0,Kuwait,Asia,17818,239.5821,1.0044,2022,4268873
110.0,Kyrgyzstan,Asia,199951,33.1612,1.0158,2022,6630623
103.0,Lao PDR,Asia,236800,31.7968,1.0141,2022,7529475
151.0,Latvia,Europe,64559,28.666,0.9876,2022,1850651
119.0,Lebanon,Asia,10452,525.2334,0.9816,2022,5489739
147.0,Lesotho,Africa,30355,75.962,1.0107,2022,2305825
121.0,Liberia,Africa,111369,47.6136,1.021,2022,5302681
107.0,Libya,Africa,1759540,3.8717,1.0114,2022,6812341
216.0,Liechtenstein,Europe,160,245.7937,1.0074,2022,39327
141.0,Lithuania,Europe,65300,42.1142,0.9869,2022,2750055
168.0,Luxembourg,Europe,2586,250.425,1.0129,2022,647599
167.0,Macau,Asia,30,23172.2667,1.0125,2022,695168
50.0,Madagascar,Africa,587041,50.4423,1.0241,2022,29611714
62.0,Malawi,Africa,118484,172.22,1.0259,2022,20405317
45.0,Malaysia,Asia,330803,102.5934,1.0109,2022,33938221
174.0,Maldives,Asia,300,1745.9567,1.0045,2022,523787
59.0,Mali,Africa,1240192,18.2178,1.0314,2022,22593590
173.0,Malta,Europe,316,1687.6139,1.0124,2022,533286
215.0,Marshall Islands,Oceania,181,229.663,0.9886,2022,41569
180.0,Martinique,North America,1128,325.8041,0.9965,2022,367507
126.0,Mauritania,Africa,1030700,4.5951,1.0263,2022,4736139
157.0,Mauritius,Africa,2040,636.9946,1.0004,2022,1299469
182.0,Mayotte,Africa,374,871.9278,1.0319,2022,326101
10.0,Mexico,North America,1964375,64.9082,1.0063,2022,127504125
194.0,Micronesia,Oceania,702,162.6268,1.0091,2022,114164
135.0,Moldova,Europe,33846,96.7026,1.0691,2022,3272996
217.0,Monaco,Europe,2,18234.5,0.9941,2022,36469
134.0,Mongolia,Asia,1564110,2.1727,1.0151,2022,3398366
169.0,Montenegro,Europe,13812,45.4012,0.9988,2022,627082
230.0,Montserrat,North America,102,43.0392,0.9939,2022,4390
40.0,Morocco,Africa,446550,83.883,1.0103,2022,37457971
48.0,Mozambique,Africa,801590,41.1302,1.0278,2022,32969517
26.0,Myanmar,Asia,676578,80.0784,1.0071,2022,54179306
145.0,Namibia,Africa,825615,3.1092,1.0146,2022,2567012
225.0,Nauru,Oceania,21,603.2381,1.0125,2022,12668
49.0,Nepal,Asia,147181,207.5511,1.0171,2022,30547580
71.0,Netherlands,Europe,41850,419.6897,1.0036,2022,17564014
185.0,New Caledonia,Oceania,18575,15.6097,1.0075,2022,289950
123.0,New Zealand,Oceania,270467,19.1716,1.0108,2022,5185288
106.0,Nicaragua,North America,130373,53.2962,1.0143,2022,6948392
54.0,Niger,Africa,1267000,20.6851,1.0378,2022,26207977
6.0,Nigeria,Africa,923768,236.5759,1.0241,2022,218541212
232.0,Niue,Oceania,260,7.4385,0.9985,2022,1934
56.0,Korea,Asia,120538,216.2755,1.0038,2022,26069416
150.0,Macedonia,Europe,25713,81.4218,0.9954,2022,2093599
210.0,Northern Mariana Islands,Oceania,464,106.7909,1.0014,2022,49551
120.0,Norway,Europe,323802,16.7828,1.0058,2022,5434319
127.0,Oman,Asia,309500,14.7861,1.0123,2022,4576298
5.0,Pakistan,Asia,881912,267.4018,1.0191,2022,235824862
222.0,Palau,Oceania,459,39.3355,1.0017,2022,18055
122.0,Palestine,Asia,6220,844.063,1.0227,2022,5250072
128.0,Panama,North America,75417,58.4561,1.0132,2022,4408581
93.0,Papua New Guinea,Oceania,462840,21.9139,1.0194,2022,10142619
109.0,Paraguay,South America,406752,16.6705,1.0115,2022,6780744
44.0,Peru,South America,1285216,26.4933,1.0099,2022,34049588
13.0,Philippines,Asia,342353,337.5434,1.0147,2022,115559009
37.0,Poland,Europe,312679,127.4698,1.0404,2022,39857145
92.0,Portugal,Europe,92090,111.5307,0.9981,2022,10270865
136.0,Puerto Rico,North America,8870,366.675,0.9989,2022,3252407
143.0,Qatar,Asia,11586,232.6189,1.0026,2022,2695122
114.0,Congo,Africa,342000,17.4574,1.0231,2022,5970424
161.0,Reunion,Africa,2511,387.914,1.0082,2022,974052
64.0,Romania,Europe,238391,82.4665,1.0171,2022,19659267
9.0,Russia,Europe,17098242,8.4636,0.9973,2022,144713314
76.0,Rwanda,Africa,26338,523.0731,1.0234,2022,13776698
228.0,Saint Barthelemy,North America,21,522.2381,1.0098,2022,10967
211.0,Saint Kitts and Nevis,North America,261,182.5939,1.0011,2022,47657
190.0,Saint Lucia,North America,616,291.9756,1.0011,2022,179857
220.0,Saint Martin,North America,53,599.8302,0.9951,2022,31791
229.0,Saint Pierre and Miquelon,North America,242,24.2231,0.9964,2022,5862
199.0,Saint Vincent and the Grenadines,North America,389,267.2185,0.9963,2022,103948
188.0,Samoa,Oceania,2842,78.2484,1.0165,2022,222382
218.0,San Marino,Europe,61,551.8033,0.9975,2022,33660
187.0,Sao Tome and Principe,Africa,964,235.8714,1.0192,2022,227380
41.0,Saudi Arabia,Asia,2149690,16.9368,1.0128,2022,36408820
